Lat,Lng,Alt,Spd
-117.6310097,0.16,0.03,308.14
-117.6310098,0.16,0.02,308.14
-117.6310097,0.15,0.03,308.14
-117.6310096,0.15,0.02,308.14
-117.6310096,0.15,0.01,308.14
-117.6310096,0.14,0.03,308.14
-117.6310095,0.15,0.06,308.14
-117.6310095,0.15,0.02,308.14
-117.6310095,0.16,0.03,308.14
-117.6310094,0.16,0.04,308.14
-117.6310094,0.17,0.04,308.14
-117.6310095,0.17,0.03,308.14
-117.6310095,0.17,0.04,308.14
-117.6310096,0.18,0.04,308.14
-117.6310097,0.18,0.01,308.14
-117.6310098,0.18,0.04,308.14
-117.6310099,0.18,0.04,308.14
-117.63101,0.18,0.04,308.14
-117.6310101,0.19,0.01,308.14
-117.6310102,0.19,0.02,308.14
-117.6310103,0.19,0.03,308.14
-117.6310104,0.19,0.02,308.14
-117.6310106,0.2,0.06,308.14
-117.6310106,0.2,0.04,308.14
-117.6310107,0.21,0.04,308.14
-117.6310108,0.22,0.03,308.14
-117.631011,0.23,0.03,308.14
-117.6310112,0.24,0.04,308.14
-117.6310114,0.25,0.02,308.14
-117.6310116,0.26,0.06,308.14
-117.6310118,0.26,0.04,308.14
-117.6310119,0.26,0.04,308.14
-117.6310121,0.26,0.03,308.14
-117.6310123,0.26,0.01,308.14
-117.6310125,0.26,0.06,308.14
-117.6310127,0.27,0.01,308.14
-117.6310129,0.27,0.02,308.14
-117.631013,0.27,0.01,308.14
-117.6310132,0.27,0.04,308.14
-117.6310133,0.27,0.02,308.14
-117.6310134,0.27,0.04,308.14
-117.6310134,0.27,0.04,308.14
-117.6310136,0.27,0.03,308.14
-117.6310136,0.27,0.04,308.14
-117.6310136,0.27,0.04,308.14
-117.6310136,0.28,0.06,308.14
-117.6310136,0.28,0.08,308.14
-117.6310137,0.28,0.06,308.14
-117.6310138,0.28,0.06,308.14
-117.6310139,0.28,0.02,308.14
-117.631014,0.29,0.02,308.14
-117.6310141,0.29,0.04,308.14
-117.6310142,0.3,0.02,308.14
-117.6310144,0.3,0.02,308.14
-117.6310145,0.31,0.02,308.14
-117.6310146,0.31,0.03,308.14
-117.6310147,0.32,0.07,308.14
-117.6310148,0.33,0.02,308.14
-117.631015,0.34,0.04,308.14
-117.6310152,0.34,0.01,308.14
-117.6310154,0.36,0.02,308.14
-117.6310154,0.37,0.04,308.14
-117.6310154,0.38,0.04,308.14
-117.6310154,0.4,0.02,308.14
-117.6310154,0.41,0.03,308.14
-117.6310153,0.42,0.03,308.14
-117.6310153,0.43,0.03,308.14
-117.6310154,0.44,0.04,308.14
-117.6310155,0.45,0.04,308.14
-117.6310155,0.46,0.03,308.14
-117.6310156,0.46,0.03,308.14
-117.6310157,0.46,0.04,308.14
-117.6310157,0.46,0.06,308.14
-117.6310157,0.45,0.04,308.14
-117.6310158,0.45,0.04,308.14
-117.6310159,0.45,0.04,308.14
-117.631016,0.44,0.04,308.14
-117.6310162,0.43,0.01,308.14
-117.6310164,0.43,0.03,308.14
-117.6310166,0.43,0.03,308.14
-117.6310167,0.42,0.04,308.14
-117.6310168,0.42,0.01,308.14
-117.631017,0.43,0.01,308.14
-117.6310171,0.43,0.03,308.14
-117.6310172,0.43,0.06,308.14
-117.6310174,0.42,0.03,308.14
-117.6310176,0.41,0.02,308.14
